,企業名,キャッチコピー,ステータス,給与
0,株式会社NST | 総合不動産企業としてグループ年商1000億円を目指して成長中！,自社ブランドマンションの【宅建事務】月給34万円～/土日祝休み 正社員,正社員,月給34万円〜月給50万円+インセンティブ ※経験・スキルを考慮の上、当社規定により優遇 ※上記、給与に…
1,株式会社ゴールドファステート | 【テレビCM放映中の成長企業】※大阪府緊急雇用対策に賛同,"高インセンティブ★平均年収は1,000万円超【営業】WEB面接実施中 正社員",正社員,■固定月給30万円以上＋諸手当＋インセンティブ 【半年に1度昇給あり。主任に上がれば固定月給40万円以上…
2,株式会社要 | ＜ゲームやアプリ開発、インフラ構築など案件豊富＞※未経験OK,【ITエンジニア(開発/インフラ)】★残業平均7H以下★有給即付与 正社員,正社員,月給28〜60万円 ＋ 賞与年2回 ※経験・スキルなどを考慮の上、決定します。 ※時間外手当などは別途全額…
3,株式会社 High mind | menuトップパートナー★大人気Youtuberなどが絶賛PR中,"フードデリバリーアプリ""menu""の【法人営業】年休125日(土日祝) 正社員",正社員,【 月給25万円〜50万円＋インセンティブ 】 経験・スキル・前職給与などを考慮の上、決定します。 固定…
4,クルーガーグループ株式会社 | 自由な月9日休み◆多彩な福利厚生◆NHKパートナー企業の安定性,未経験歓迎♪テレビ業界を応援！【ルートセールス】*1ヶ月半研修 正社員,正社員,■月給制 【関東・甲信越】25万円〜＋歩合 【北海道・宮城】23万円〜＋歩合 【神奈川】26万円〜 【青森】…
5,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"9割が未経験スタート！【提案営業】平均年収1,025万円 正社員",正社員,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…"
6,UTコンストラクション株式会社 | 大手グループ・安定基盤／年休120日以上・土日休み,未経験歓迎【プロジェクトサポート】平均月収29万円/男性活躍中 正社員,正社員,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
7,株式会社ビッグモーター | ＼業界No.1◆全国店舗で200名採用◆直近1年の最高年収2282万円／,平均年収861万円【カーライフアドバイザー】*経験/学歴/年齢不問 正社員,正社員,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…
8,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,コツコツ働ける♪【箱詰め・在庫確認スタッフ】未経験歓迎！ 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
9,株式会社ビッグモーター | 業界No.1◆月給23万9800円～☆残業ほぼなし☆面接1回,未経験からはじめる【フロントスタッフ(受付・事務)】*学歴不問 正社員,正社員,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …
10,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備 ★40～50代が活躍中,【観光コンシェルジュ(ドライバー)】※直近の平均月収27～45万円 正社員,正社員,昼勤…月給25万円以上 夜勤…月給30万円以上 ★一律手当を含む／業績給は別途支給 ※研修期間（4週間）…
11,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,ゆとりのある生活を！【工場ラインスタッフ】未経験大歓迎☆ 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
12,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,☆未経験歓迎☆【総合職(管理・資料作成等)】LINE面接実施中！ 正社員,正社員,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
13,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,【軽ドライバー】都会で稼ぐ！年収1000万円夢じゃない★全国募集 業務委託,業務委託,完全出来高制（1件あたり150円〜240円） ★月収55万円以上のスタッフ8割以上 ☆収入満足度90％以上 ※…
14,東京ビッグハウス株式会社 | 【TOKYO BIG HOUSE/東証一部上場ケイアイスター不動産グループ】,コロナ禍で「戸建て」需要急増中！【不動産営業】月給30万円～！ 正社員,正社員,月給:30万円以上＋賞与年2回（6月・12月）※営業成績・顧客満足度等により算出 ※経験・年齢・能力など…
15,株式会社サカイ引越センター | 《 東証一部上場企業 》★月給25万円★賞与年3回★土日休みもOK,自動車免許が無くても始められる【配送スタッフ】★女性も活躍中 正社員,正社員,◆ 月給25万円〜38万円＋諸手当＋賞与年3回 ※経験などを考慮のうえ、当社規定により優遇します。 ※試…
16,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,【点検・保守】日勤案件がほとんど/基本土日休み/平均月収29万円 正社員,正社員,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
17,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】★オンライン説明会開催中！,「AI・自動化」で需要が拡大！【ロボットのサポートエンジニア】 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
18,株式会社ロジカル | コロナ禍・景気にも左右されない安定企業◆面接1回で内定,【ルート営業】前職から10万円以上、給与がUPしたスタッフも！ 正社員,正社員,"月給26万7,823円以上＋諸手当＋歩合給 ※固定残業代8万1,323円・月60時間分を含みます（超過分は別途支給…"
19,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◎90％が未経験入社 ◎定着率95％,＼年休最大160日／ものづくりの【サポートスタッフ】◆賞与年2回 正社員,正社員,【A】月給25万5000円〜 【B】月給23万3000円〜 A…関東・甲信越、東海、近畿・北陸エリア B…北海道・東…
20,株式会社アウトソーシングテクノロジー | R&D事業本部 | 正社員×安心して長く働く×大手メーカーと直取引,キャリアUP前提採用！【メカ・ロボットエンジニア】東海勤務限定 正社員,正社員,◆月給20万円以上＋残業代＋一律手当 ※スキル・経験年数・年齢等を考慮し話し合いの上、決定します。 …
21,DSP株式会社 | 初年度年収450万円以上可/産休育休有/大阪府緊急雇用対策に賛同,【総合職(営業/広報/人事/総務など)】やりたいことが見つかる♪ 正社員,正社員,月給22万円〜50万円 ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 ▼福岡県・熊本…
22,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【サービスフロント(受付事務)】未経験歓迎★高卒以上★転勤なし 正社員,正社員,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …
23,株式会社砂建 | 【月給22万円以上！完全週休2日制（土日）の働き方も選べます】,収入も環境面も安心！【メンテナンス】残業ほぼなし／社員寮あり 正社員,正社員,★2つの働き方が選べます。 ▼週休2日制 【月給】24万〜55万円＋諸手当 ▼完全週休2日制 【月給】22万…
24,日本eリモデル株式会社 | 勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,景気に左右されず好調！【企画営業】就職祝金15万円★転勤なし★ 正社員,正社員,[1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…
25,株式会社ワールドコーポレーション,【管理業務スタッフ】※首都圏限定※未経験歓迎 正社員,正社員,"■月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ※上記固定残業代いず…"
26,株式会社いーふらん | 高級宝飾時計商おたからや,平均年収927万【営業系総合職／広告等】未経験から自己最高収入 正社員,正社員,給与月給30万円以上 ※残業禁止なので、給与にみなし残業代は含んでおりません。発生した際には、別途残…
27,環境ステーション株式会社 | ★土日祝休み ★残業月20ｈ以内 ★充実の教育制度 ★社宅有,【不動産営業】多くの若手社員が第一線で活躍！未経験者も歓迎！ 正社員,正社員,月給28万円以上+インセンティブ＋賞与年2回 ※入社半年でほとんどの営業が30万円以上(1回)のインセンティ…
28,"高村撮影交通有限会社 | Takamura Shooting crew Transportation, Inc. | 転職者満足度◎",＼若手育成枠／【ロケバスドライバー】★月8~10日休★20代を歓迎 正社員,正社員,【月給22万円〜40万円】 ＋残業代別途全額 ＋住宅手当 ＋賞与年2回 ★サービス残業ゼロ ★経験・スキル…
29,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,《希望の勤務地》《高収入》《望む働き方》を実現！【施工管理】 正社員,正社員,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…
30,株式会社岸田 | 宮崎県内外で案件増加中 ／ 東京・大阪など”全国”を舞台に活躍,スペシャリストになれる【現場スタッフ】★高収入×好待遇を実現 正社員,正社員,月給23万円〜40万円 + 諸手当 ＜モデル月収例＞ 月収30万円／入社1年目／未経験スタート 月収35万円／入…
31,株式会社ワールドコーポレーション | 安定基盤・難しい仕事はありません！,夜勤ナシ！【点検・保守】転職回数不問※全国募集※未経験歓迎 正社員,正社員,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
32,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,<稼げる> 経験者募集【施工管理(土木/建築/造園/管/電気)】 正社員,正社員,"月給／314,000円〜453,000円 ＋ 完工手当など ※経験・スキルを考慮の上、当社規定により優遇します。 …"
33,株式会社東黎トラスト | 大阪府緊急雇用対策に賛同／完全週休2日制／年間休日休暇120日,コミュニケーションスキルが活かせる【総合職(営業・リサーチ)】 正社員,正社員,月給27万円〜35万円（一律営業手当を含む） + 歩合給 ＋ 諸手当（1室受注するごとに、歩合がつきます） …
34,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア(開発/インフラ) 】★年休123日＆残業月15h程度★ 正社員,正社員,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…
35,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,【サポートスタッフ(データ管理・部品手配等)】★完全週休2日制 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
36,エスリード株式会社 | 【東証一部上場企業】業界トップクラスのマンションデベロッパー,未経験OK！【営業職】■平均年収899万円/残業少なめ/格安社宅有 正社員,正社員,月給25万円以上＋インセンティブ＋各種手当＋賞与 ※経験・スキルを考慮し、決定します。 ※同業他社で…
37,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,【自動車製造スタッフ】転籍実績も多数！★月収42万円以上も可！ 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
38,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,【半導体装置エンジニア】育成前提！未経験から高収入の技術者へ 正社員,正社員,"月給200,000円〜225,000円（カリキュラム終了後の月収例：月収30万円／月給28.5万円＋手当） ※勤務地に…"
39,株式会社comam | 今年4月に東京に拠点OPEN ／ 採用プロセスは原則WEB面接1回のみ,【営業】▼朝はゆっくり11時出社／高収入を目指せる給与体系 正社員,正社員,月給／26万円以上　＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については…
40,株式会社グッドワークコミュニケーションズ | 多角的な事業展開で急成長！★☆20～30代大活躍中！☆★,【営業職】★未経験スタート95％★定着率90％★平均月収36万円 正社員,正社員,"◆関東・東北エリア 月給251,000円（固定残業代17,000円10時間分を含） 〜月給300,000円（固定残業代20,5…"
41,株式会社ライジングサンセキュリティーサービス | ☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,福島支社募集【警備】★月給32万~最大42万円！★書類選考なし！ 正社員,正社員,月給32万円〜42万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…
42,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【資材管理スタッフ】★そこそこ高収入＆そこそこ休める環境！ 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
43,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,35歳以下★ソフトバンクの【法人営業】学歴不問★未経験OK 正社員,正社員,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…
44,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,平均月収80万円！【営業】★40代の新人活躍中！未経験も大歓迎 正社員,正社員,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…
45,株式会社タスカ | 大変だって、キツくったって―。稼げて、自由ならいいじゃない！,これからは、人より短い時間で、稼ぐ生活を！【提案営業】 正社員,正社員,月給25万円〜＋インセンティブ ★利益のMAX30％を還元する業界最高水準の還元率！ ※スキル・年齢を考慮…
46,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,未経験OK！集客を支援する【法人営業】★土日祝休★残業ほぼなし 正社員,正社員,月給23万円以上 ※給与の金額は、あなたのスキルや能力を考慮した上で、決定となります。 ▼大阪・広島…
47,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,同期入社多数！【資材管理】★研修充実！※全国募集※未経験歓迎 正社員,正社員,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
48,株式会社NEXER | リフレッシュ休暇（勤続5年で5万＆5連休付与、10年だと倍に！）,未経験から市場価値を高める！Webマーケティングの【提案営業】 正社員,正社員,【未経験】 月給:25万円〜＋インセンティブ（毎月）＋賞与年2回 【経験者】※法人営業1年以上 月給:30万…
49,株式会社ビッグモーター | ＼社員の85%が平均年収860万円！／◆90%が営業未経験スタート！,業界No.1企業で活躍！【販売・買取スタッフ】★社会人経験者募集 正社員,正社員,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
50,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,自宅から通勤したい！そんな希望も叶う♪【倉庫内作業スタッフ】 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
51,株式会社ビッグモーター | 億単位の設備とクリーンな環境◆月8日以上休み／賞与年2回,未経験歓迎☆年収800万円以上も可能！【自動車整備士】*年齢不問 正社員,正社員,月給22万9900円〜60万円＋インセン（月平均10〜20万円）＋諸手当（資格手当など）＋賞与年2回 ※スキル…
52,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,将来は各店舗の責任者として活躍！注文住宅の【建築設計】 正社員,正社員,[経験者(管理職候補)] 月給45〜60万円＋手当 例)基本給60万＋資格手当2万＝月収62万円 年収744万円＋賞与…
53,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",京都での新スタートを応援【タクシードライバー】年休120日以上 正社員,正社員,月給20万円（当社規定による） （未経験者は入社後半年間、月給20万円を保証） ※一定額を上回る運送収入…
54,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,＼年休127日／【 営業 】東海エリア募集＊未経験＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
55,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,未経験・第二新卒OK【総合職(組立・検品等)】オープンポジション 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
56,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【法人営業】未経験OK★高卒以上 正社員,正社員,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…
57,東建コーポレーション株式会社 | ◎平均年収819万円　◎全国採用実施中（自宅近くの拠点を考慮）,社会人経験があればOK！【営業系総合職】※年齢不問／全国募集 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
58,東建コーポレーション株式会社 | ＊年齢に関わらず『まだまだやれる』そんな職場環境があります＊,40～50代活躍中！【営業】※全国募集/未経験歓迎/年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
59,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,【製造スタッフ】未経験から高収入！★月収最大42万円も可能 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
60,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,未経験から稼ぎたい方必見！【 営業職 】※全国募集※30歳まで 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
61,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【ソリューション営業】★高卒以上★40歳以下 正社員,正社員,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…
62,株式会社インヴァランス | IoTを取り入れたマンションを展開★高インセンティブ制度有,投資用マンションを提案する【不動産営業】未経験OK 正社員,正社員,月給：26万円 ＋ インセンティブ ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※固…
63,KUROFUNE＆PARTNERS株式会社 | ★入社1年目全員が未経験で年収500万円以上の実績★,未経験からキャリアを広げる【総合職(バイヤー/融資コンサル)】 正社員,正社員,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…
64,KUROFUNE＆PARTNERS株式会社 | ★入社1年目全員が未経験で年収500万円以上の実績★,前職のスキルを活かせる【買取査定スタッフ】※社会人経験者募集 正社員,正社員,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…
65,株式会社あきんどスシロー | 東証一部上場グループ／引越費用全額負担＆社員寮有・賞与年2回,【店舗スタッフ】店長平均年収は約719万円！コロナ禍も安定経営 正社員,正社員,"月給21万5,000円〜 【月収例（店長）】 月収39万7,000円（内訳は以下の通り） 役職手当：16万円 住宅手…"
66,株式会社アミ―クス | 『トータルリペア』オーナー募集,リペア職人として1人で独立！トータルリペアの【FCオーナー】 FCオーナー,FCオーナー,完全出来高制となります。 施工原価はわずかな塗料等の材料費だけなので利益率が高いのが特徴。 例えば…
67,サンリスト株式会社 | 《イイとこどりの好環境》★未経験歓迎 ★若手活躍中 ★面接確約,「長く働けて、待遇UPできる」職場を選びませんか？【提案営業】 正社員,正社員,月給25万円〜40万円 + 諸手当 + インセンティブ ※上記はあくまで最低保証額です。年齢、経験、能力を考…
68,中国化工建設株式会社 | 【東証一部上場「ショーボンドホールディングス」グループ】,収入と安定を手に入れろ！【施工管理】☆賞与６～10ヵ月実績 正社員,正社員,"月給：21万4,000円以上＋諸手当 ※年齢、経験、能力を考慮の上、優遇いたします ※試用期間6ヶ月（待遇…"
69,株式会社リグラス | 【設立4年で売上50億達成の成長企業】営業職の平均年収1000万円,年収1500万以上を目指せる！【幹部候補】募集 正社員,正社員,月給:30万円＋インセンティブ＋各種手当（奨学金支援制度＋資格手当など） ※学歴（大学院了、四大、短…
70,株式会社トライトキャリア | 有給取得率50％越/年収600万円以上可/大阪府緊急雇用対策に賛同,土日祝休＆年休120日!医療・福祉業界の【キャリアアドバイザー】 正社員,正社員,◆月給23万円〜40万円+賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします …
71,株式会社ジーアフター | 【大型店新規オープン】＊千葉県トップクラスの中古車販売店,車を美しく仕上げる【商品化スタッフ(コーティング等)】未経験OK 正社員,正社員,月給25万円〜 ＋ インセンティブ ※経験や年齢等を考慮し、当社規定により決定致します ※試用期間3ヶ…
72,株式会社クリア | メンズ美容のリーディングカンパニーへ　脱毛サロンを全国70店舗,【メンズ脱毛の提案・施術スタッフ/店長】未経験から高収入！ 正社員,正社員,■月給22万円＋インセンティブ (内訳：基本給20万円+みなし残業代2万円(14h分) ■店長：月給26万円＋イ…
73,株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,Excel、Word、PowerPointをイチから学ぶ！男女不問！【事務職】 正社員,正社員,■月給22万円〜35万円 ※前職給与・経験・年齢・能力などを考慮して、給与額を決定します。 ※30時間分の…
74,株式会社大阪真和エンタープライズ | 【売上高122億円以上を誇るLALLグループ】◆独立支援制度あり！,既存顧客中心！投資用不動産【営業】未経験歓迎／完全週休2日 正社員,正社員,月給24万円以上＋歩合給＋各種手当+賞与（年2回） ※経験やスキルを考慮し決定します。 ※上記給与には…
75,株式会社ジーアフター | お休み増えてます♪今年7月より5日増えて年間休日は120日です◎,急募★新規通販部門の【事務スタッフ】メール対応・営業サポート 正社員,正社員,月給26万5000円〜 ※経験や年齢、スキル等を考慮の上、当社規定により決定致します ※上記の月給には時…
76,株式会社ハンナ | 普通免許があれば応募OK！収入・働く環境などカスタマイズできる,業界をリードする優良会社で活躍【ドライバー】月収40万円超も可 正社員,正社員,月給17〜45万円 + 諸手当 + 賞与年2回 《入社1年目のモデル月収例》 ・月収35〜45万円／10tドライバー …
77,HITOWAライフパートナー株式会社 | 全国募集★不況でも売上昨対超え！自宅開業OK★転勤なし！,面談確約【店舗経営】研修制度◎稼ぎ◎自由さ◎学歴・年齢不問！ FCオーナー,FCオーナー,"【月収にすると約60万円が平均！】月100万円以上稼ぐ方も◎ 売上1,111,617円ー（原価：55,581円＋販管費…"
78,NITOH株式会社 | ★福利厚生充実★フラットな社風★未経験から年収1000万円が可能,【不動産営業】★土日休み★高インセンティブ★平均年収863万円 正社員,正社員,【収入 or ワークライフバランス／希望の働き方を選べる】 ◆A：高収入重視⇒週休2日(毎週日曜+第1・3・…
79,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,シンプルワーク中心【軽作業スタッフ(梱包・検品等)】未経験OK！ 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
80,創建プランニング株式会社 | 頑張った分だけ収入アップ◎社員に還元する嬉しい体制を完備！,【営業アシスタント】未経験から年収1000万円も！◎残業ほぼナシ 正社員,正社員,月給20万円〜 ＋ インセンティブ + 手当 ◎このほかに定期的な賞金制度など、成果に応じて給与がプラスさ…
81,株式会社アクアライン | 東証マザーズ上場企業◎修理実績168万件以上◎知名度急上昇中！,【水まわり緊急修理サービススタッフ】業種職種未経験OK 正社員,正社員,(1)月給30万円〜 (2)月給28万円〜 (3)月給25万円〜 (4)月給23万円〜 (5)月給21万円〜 ※固定残業代(月30…
82,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,基本17時退社★平均月給43.4万円【法人営業】※社会人経験者限定 正社員,正社員,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …
83,大基興業有限会社 | 入社祝い金あり／完全週休2日・完全週休3日も選べます,月給33万円スタートもOK【メンテナンススタッフ】※ほぼ残業なし 正社員,正社員,《休みが選べる!》 【週休2日制】月給28万円〜33万円+皆勤手当 【完全週休2日制】月給24万円〜28万円+皆…
84,株式会社アール・エム | 【大阪府緊急雇用対策に賛同】入社1年目から昇進・昇級続々！,未経験入社が90％以上【提案営業】2020年度最高月収331万円！ 正社員,正社員,月給25万円＋インセンティブからスタート ※固定残業代5万5900円(40時間分)含む。時間超過分は追加支給…
85,株式会社PE-BANK | ◆案件5万件越 ◆日本最大級の総合ITフリーランスサポート企業,【ITエンジニア】全員が収入UPを実現＝平均年収700万円！ 業務委託,業務委託,完全歩合制 【契約金額の88〜92％】（契約金額は案件内容による） ※希望報酬額・スキル等を考慮して優遇…
86,株式会社ライジングサンセキュリティーサービス | ★面接保証あり★20～60代が活躍中★月給最大29万8000円！,【施設常駐スタッフ】書類選考なし★女性活躍中★福島エリア募集 正社員,正社員,月給16万円〜29万8000円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なりま…
87,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,貯金UPを目指せる！【機械操作スタッフ】★月収42万円以上可能 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
88,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,【代理店開拓アポインター営業】★オープニングメンバー 業務委託,業務委託,"固定報酬時間額 2,000円 +（インセンティブ） ※契約後3ヶ月間は、固定報酬時間額1,400円+インセンティブ…"
89,株式会社サンディ | ドイツ発“ボックスストア”ビジネスの国内パイオニア！,未経験歓迎！【店長候補】賞与実績5ヶ月以上(2020年度実績) 正社員,正社員,"■大卒／月給23万6,000円〜 ■短大卒／月給22万400円〜 ■高卒／月給20万2,800円〜 ※年齢、経験、能力…"
90,株式会社HiiizL | 【大阪府緊急雇用対策に賛同】教育評価制度充実/新規事業拡大中,【イベントPR・営業】政府推奨アワード受賞／3ヵ月で即戦力に！ 正社員,正社員,月給22万円以上 + インセンティブ +賞与年2回 ※固定残業代（30時間分／4万円）を含みます。 　超過分は…
91,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,【求人広告アポインター営業】★未経験1年目の平均月収40万円 業務委託,業務委託,"固定報酬時間額 2,000円 +（インセンティブ） ※契約後3ヶ月間は、固定報酬時間額1,400円+インセンティブ…"
92,株式会社プレサンスコーポレーション | #東証一部上場#投資用マンション#教育体制充実#未経験歓迎,や～どかりかり♪のCMでお馴染み◎業界NO.1の【営業職】 正社員,正社員,◆月給30万円＋業績給 ※業績給は実績に基づき、正当に評価します ※研修期間3ヶ月間は月給28万円〜
93,"サングローブ株式会社 | ★創業7期目で15,000社と直取引★年休130日/土日祝休み/残業ゼロ",新しいカタチの【法人営業】★未経験から年収1000万可★Web集客 正社員,正社員,【1.営業経験者】 月給35万円〜 【2.Webインサイドセールス営業経験者】 月給52万円〜 【3.営業未経験…
94,三井住友トラスト不動産株式会社 | 三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,銀行グループだからできる《好環境・高収入》／【売買仲介営業】 正社員,正社員,月給24万5000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※給与は年2回の見直しがあり…
95,株式会社エムピーキッチン | 上場も視野に拡大中/月平均8日休/サービス残業0/賞与年2回,年齢・経験不問！実力次第で年収480万円以上も可能【店長候補】 正社員,正社員,月給21万円〜28万円+残業代＋深夜割増手当＋深夜特別手当＋業績賞与（年2回） ◎経験・スキルを考慮の上…
96,株式会社free mova,【総合職】事務・CA・営業など◎年休127日◎未経験◎フレックス 正社員,正社員,月給23万円〜30万円＋賞与2回＋昇給2回＋インセンティブ ※上記金額には、固定残業手当30時間分（4万2000…
